threshold,sensitivity,specificity,precision,tp,fp,fn,tn,cost_score
0.05,1.0,0.0,0.10743801652892562,13,108,0,0,0.7
0.1,1.0,0.0,0.10743801652892562,13,108,0,0,0.7
0.15,1.0,0.027777777777777776,0.11016949152542373,13,105,0,3,0.7083333333333333
0.2,1.0,0.037037037037037035,0.1111111111111111,13,104,0,4,0.711111111111111
0.25,1.0,0.12962962962962962,0.12149532710280374,13,94,0,14,0.7388888888888888
0.3,1.0,0.25,0.13829787234042554,13,81,0,27,0.7749999999999999
0.35,1.0,0.37037037037037035,0.16049382716049382,13,68,0,40,0.8111111111111111
0.39999999999999997,1.0,0.4722222222222222,0.18571428571428572,13,57,0,51,0.8416666666666666
0.44999999999999996,0.9230769230769231,0.6111111111111112,0.2222222222222222,12,42,1,66,0.7468425513880059
0.49999999999999994,0.8461538461538461,0.7314814814814815,0.275,11,29,2,79,0.6464628805537896
0.5499999999999999,0.5384615384615384,0.8333333333333334,0.28,7,18,6,90,0.13105530832803558
0.6,0.46153846153846156,0.8703703703703703,0.3,6,14,7,94,0.005675637493819274
0.65,0.23076923076923078,0.9166666666666666,0.25,3,9,10,99,-0.389907819453274
0.7,0.15384615384615385,0.9629629629629629,0.3333333333333333,2,4,11,104,-0.5125097125097124
0.75,0.15384615384615385,0.9722222222222222,0.4,2,3,11,105,-0.5097319347319347
0.7999999999999999,0.07692307692307693,0.9907407407407407,0.5,1,1,12,107,-0.6406671611217066
0.85,0.07692307692307693,1.0,1.0,1,0,12,108,-0.6378893833439289
0.9,0.0,1.0,0.0,0,0,13,108,-0.7743801652892561
0.95,0.0,1.0,0.0,0,0,13,108,-0.7743801652892561
